uid,domain,file_path,var_name,fs_out,BPFO_main_e,BPFO_sb_fr_e,BPFI_main_e,BPFI_sb_fr_e,BSF_main_e,BSF_sb_fr_e,FTF_main_e,BPFI_sbfr_ratio,BPFO_sbfr_ratio,BSF_sbftf_ratio,label,sensor,load_hp,rpm,BPFO,BPFI,BSF,FTF,fr_hz,fault_size_in,bearing_type
A:A:00000,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00001,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00002,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00003,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00004,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00005,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00006,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00007,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00008,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00009,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00010,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00011,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00012,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00013,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00014,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00015,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00016,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00017,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00018,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00019,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00020,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00021,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
A:A:00022,target,/Users/hanibote/Desktop/Modeling/数据集/目标域数据集/A.mat,A,32000,,,,,,,,,,,,,,600,,,,,,,
